dateComponents,activeEnergyBurned,activeEnergyBurnedGoal,activeEnergyBurnedUnit,appleMoveTime,appleMoveTimeGoal,appleExerciseTime,appleExerciseTimeGoal,appleStandHours,appleStandHoursGoal
1969-12-30,0,0,Cal,0,0,0,30,0,12
1969-12-31,0,0,Cal,0,0,0,30,0,12
2020-11-11,0,0,Cal,0,0,0,30,0,12
2020-11-12,0,0,Cal,0,0,0,30,0,12
2020-11-13,0,0,Cal,0,0,0,30,0,12
2021-05-13,0,0,Cal,0,0,0,30,0,12
2021-05-14,129.374,1000,Cal,0,0,13,30,2,12
2021-05-15,1008.47,500,Cal,0,0,99,30,15,12
2021-05-16,1065.04,500,Cal,0,0,56,30,15,10
2021-05-17,812.953,500,Cal,0,0,58,30,16,10
2021-05-18,913.985,500,Cal,0,0,52,30,17,10
2021-05-19,884.831,500,Cal,0,0,30,30,16,10
2021-05-20,905.002,500,Cal,0,0,52,30,16,10
2021-05-21,904.515,500,Cal,0,0,63,30,18,10
2021-05-22,760.311,500,Cal,0,0,19,30,16,10
2021-05-23,1020.15,500,Cal,0,0,89,30,15,10
2021-05-24,874.129,500,Cal,0,0,37,30,18,10
2021-05-25,775.498,500,Cal,0,0,30,30,17,10
2021-05-26,743.105,500,Cal,0,0,45,30,18,10
2021-05-27,774.373,500,Cal,0,0,23,30,17,10
2021-05-28,767.955,500,Cal,0,0,36,30,18,10
2021-05-29,611.048,500,Cal,0,0,31,30,15,10
2021-05-30,641.547,500,Cal,0,0,43,30,17,10
2021-05-31,1182.18,500,Cal,0,0,112,30,19,10
2021-06-01,794.278,500,Cal,0,0,43,30,16,10
2021-06-02,847.832,500,Cal,0,0,39,30,16,10
2021-06-03,777.207,500,Cal,0,0,32,30,16,10
2021-06-04,888.834,500,Cal,0,0,51,30,18,10
2021-06-05,734.19,500,Cal,0,0,25,30,18,10
2021-06-06,806.829,500,Cal,0,0,14,30,16,10
2021-06-07,1105.68,500,Cal,0,0,62,30,17,10
2021-06-08,827.233,500,Cal,0,0,43,30,17,10
2021-06-09,856.683,500,Cal,0,0,52,30,16,10
2021-06-10,822.841,500,Cal,0,0,22,30,17,10
2021-06-11,756.331,500,Cal,0,0,37,30,17,10
2021-06-12,931.081,500,Cal,0,0,55,30,18,10
2021-06-13,899.57,500,Cal,0,0,25,30,17,10
2021-06-14,1001.91,500,Cal,0,0,65,30,17,10
2021-06-15,843.421,500,Cal,0,0,43,30,19,10
2021-06-16,822.173,500,Cal,0,0,43,30,17,10
2021-06-17,791.2,500,Cal,0,0,41,30,15,10
2021-06-18,929.035,500,Cal,0,0,36,30,17,10
2021-06-19,880.156,500,Cal,0,0,38,30,20,10
2021-06-20,871.415,500,Cal,0,0,62,30,17,10
2021-06-21,901.185,500,Cal,0,0,42,30,19,10
2021-06-22,780.492,500,Cal,0,0,46,30,18,10
2021-06-23,787.741,500,Cal,0,0,49,30,17,10
2021-06-24,910.731,500,Cal,0,0,54,30,17,10
2021-06-25,908.605,500,Cal,0,0,62,30,19,10
2021-06-26,898.35,500,Cal,0,0,42,30,18,10
2021-06-27,877.949,500,Cal,0,0,57,30,18,10
2021-06-28,753.997,500,Cal,0,0,31,30,18,10
2021-06-29,711.784,500,Cal,0,0,40,30,19,10
2021-06-30,854.633,500,Cal,0,0,33,30,18,10
2021-07-01,746.738,500,Cal,0,0,38,30,17,10
2021-07-02,684.832,500,Cal,0,0,32,30,15,10
2021-07-03,807.489,500,Cal,0,0,44,30,15,10
2021-07-04,1297.8,500,Cal,0,0,108,30,17,10
2021-07-05,874.106,500,Cal,0,0,30,30,19,10
2021-07-06,674.06,500,Cal,0,0,31,30,17,10
2021-07-07,792.279,500,Cal,0,0,30,30,15,10
2021-07-08,831.614,500,Cal,0,0,34,30,19,10
2021-07-09,707.761,500,Cal,0,0,20,30,20,10
2021-07-10,983.38,500,Cal,0,0,47,30,18,10
2021-07-11,753.965,500,Cal,0,0,45,30,18,10
2021-07-12,971.913,500,Cal,0,0,32,30,18,10
2021-07-13,803.719,500,Cal,0,0,30,30,20,10
2021-07-14,781.221,500,Cal,0,0,17,30,18,10
2021-07-15,819.163,500,Cal,0,0,44,30,19,10
2021-07-16,802.231,500,Cal,0,0,20,30,20,10
2021-07-17,987.031,500,Cal,0,0,46,30,17,10
